surrogate,epoch,train_loss_mean,train_loss_std,train_acc_mean,train_acc_std,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std
atan,1,0.23673801740076805,0.0012681518724137466,93.02833333333332,0.12810585900383678,0.11294557626048723,0.005913566451590347,96.55333333333334,0.25403411844343404
atan,2,0.09712360618511835,0.0004268706802027276,96.99444444444445,0.036717136981903195,0.09526676572859287,0.0034241369381811256,97.00999999999999,0.00999999999999801
atan,3,0.07152788693176375,0.0008650405840393586,97.78055555555555,0.04501028689006634,0.08793986172725758,0.0033040501004165056,97.21,0.07211102550928121
atan,4,0.05882806729972362,0.001271514162955764,98.10166666666667,0.0601618188259325,0.096753011085093,0.00861467646354841,97.00666666666666,0.1913983629327425
atan,5,0.05116975213785966,0.0024017840070622094,98.34388888888888,0.09835216392203744,0.09252627252911527,0.008601328021878078,97.18666666666667,0.37634204300520696
piecewise_exp,1,0.23465677757064504,0.0012600189426527873,93.07499999999999,0.07726217990999176,0.11659119712809722,0.0036079292533442403,96.41000000000001,0.06082762530298061
piecewise_exp,2,0.09341542677614424,0.0010177540674983616,97.08444444444444,0.01946031098682289,0.0927945451810956,0.00860606831489773,97.14666666666666,0.14571661996262567
piecewise_exp,3,0.06729669720050362,0.0009795125152404752,97.875,0.03547299442298372,0.08261450032393138,0.004321840569023221,97.38,0.1410673597966595
piecewise_exp,4,0.05478271744516161,0.0008811828498485859,98.19277777777779,0.047267951714233016,0.09226564820855855,0.009567424600569396,97.11666666666667,0.1950213663508013
piecewise_exp,5,0.04874715043587818,0.0006316509895728877,98.38888888888887,0.022005891467044313,0.08512118427703778,0.010593531658090651,97.41666666666667,0.43890014050275267
rectangular,1,0.260010869947407,0.002450503558706194,92.63444444444444,0.19642876382867366,0.12472428207596142,0.002950181357737763,96.29333333333334,0.1069267662156336
rectangular,2,0.10858990198903613,0.0012053828756222406,96.68833333333333,0.00833333333333286,0.10997743209203086,0.016933666823735143,96.66666666666667,0.501431284757274
rectangular,3,0.08817716430690554,0.001205923002693826,97.22444444444443,0.05334201318258371,0.09925403843323388,0.0024193196741135385,96.83,0.13453624047073304
rectangular,4,0.07478687617381413,0.0017847814428146613,97.66555555555556,0.0896650144416105,0.0966819705441594,0.008148580107144384,97.00666666666666,0.3448671241700648
rectangular,5,0.0690193873759773,0.0012178955796448357,97.81055555555555,0.044169287133999494,0.10331175072739522,0.02131382225626079,96.77999999999999,0.6102458520956967
sigmoid,1,0.24045563118921387,0.0009380657381181344,92.87111111111112,0.046736059517885585,0.11340989681581655,0.005894105773479826,96.48333333333333,0.21079215671683288
sigmoid,2,0.09164560190770361,0.000845281679463178,97.16888888888889,0.039240474192022916,0.09274002239108085,0.004105745291878495,97.09333333333332,0.12013880860626472
sigmoid,3,0.06453461680644089,0.0010290196260999522,97.94944444444445,0.06692311785701764,0.08687098268419503,0.004936579497990779,97.32000000000001,0.1400000000000016
sigmoid,4,0.047751931188503904,0.0007791069259809927,98.44777777777777,0.006938886664888762,0.0899830020343264,0.006106641239367232,97.28333333333335,0.11239810200058262
sigmoid,5,0.04149397151950333,0.0018571558077802258,98.64888888888889,0.047267951714233016,0.08522113868966698,0.011732505696945237,97.43666666666667,0.41040630274562534
triangular,1,0.23909773683415522,0.0013328286191850286,93.05222222222221,0.04110735718597215,0.11486347392201424,0.0051438995906996675,96.46666666666665,0.23544284515213648
triangular,2,0.09748901056448618,0.0012187183899018488,96.9811111111111,0.04097198681664802,0.10156940786788861,0.008444344528641644,96.72000000000001,0.26664583251946977
triangular,3,0.07461389685140717,0.0006710101018967285,97.68833333333333,0.03214550253664342,0.08714162415514388,0.0016094519772835109,97.25,0.0799999999999983
triangular,4,0.06181913232372866,0.0021132918228617854,98.04444444444444,0.08534787202537249,0.09788211969037851,0.02381893216749713,97.02666666666669,0.6467096205665502
triangular,5,0.05535328292946021,0.0013608149351873574,98.19944444444445,0.06936884774188075,0.09227636608605583,0.013793579905847838,97.18333333333334,0.41295681775863297
