surrogate,seed,epoch,train_loss,train_acc,test_loss,test_acc
atan,2024,1,0.23559088058272998,93.175,0.1086121879518032,96.7
atan,2024,2,0.09761551806529363,96.97666666666667,0.09921549782156944,97.01
atan,2024,3,0.07251880389253298,97.735,0.0913199856877327,97.13
atan,2024,4,0.05901921937266986,98.14666666666666,0.0956557545810938,96.85
atan,2024,5,0.05369204168617726,98.24666666666667,0.09371241573244334,97.15
atan,2025,1,0.2365233808795611,92.97166666666666,0.11968245394527913,96.26
atan,2025,2,0.0969047722697258,97.03666666666666,0.0931181874126196,97.0
atan,2025,3,0.07114132241209348,97.78166666666667,0.08778205905109644,97.23
atan,2025,4,0.05999318310916424,98.03333333333333,0.1058637460693717,96.95
atan,2025,5,0.048910054414470994,98.44333333333333,0.08339343266561627,97.58
atan,2026,1,0.2380997907400131,92.93833333333333,0.11054208688437939,96.7
atan,2026,2,0.09685052822033564,96.97,0.09346661195158959,97.02
atan,2026,3,0.0709235344906648,97.825,0.08471754044294358,97.27
atan,2026,4,0.05747179941733678,98.125,0.08873953260481357,97.22
atan,2026,5,0.050907160312930744,98.34166666666667,0.10047296918928623,96.83
piecewise_exp,2024,1,0.2337530818959077,93.16333333333333,0.11264554262161255,96.45
piecewise_exp,2024,2,0.09390198025306067,97.10166666666667,0.10068332254886628,97.01
piecewise_exp,2024,3,0.06811376962860426,97.83666666666667,0.07762479539960623,97.51
piecewise_exp,2024,4,0.05399346795876821,98.22333333333333,0.10187892653048039,96.92
piecewise_exp,2024,5,0.04879285780688127,98.40833333333333,0.0796173682436347,97.66
piecewise_exp,2025,1,0.23412112941741944,93.04166666666667,0.11740600392222404,96.44
piecewise_exp,2025,2,0.09224571999311447,97.08833333333334,0.08361662942916155,97.3
piecewise_exp,2025,3,0.06621085806091627,97.90666666666667,0.08518310561776161,97.23
piecewise_exp,2025,4,0.055733487089474995,98.13833333333334,0.09217327181249857,97.12
piecewise_exp,2025,5,0.04935470622032881,98.365,0.07841244116425514,97.68
piecewise_exp,2026,1,0.2360961213986079,93.02,0.11972204484045505,96.34
piecewise_exp,2026,2,0.09409858008225759,97.06333333333333,0.09408368356525898,97.13
piecewise_exp,2026,3,0.06756546391199032,97.88166666666666,0.08503559995442629,97.4
piecewise_exp,2026,4,0.054621197287241616,98.21666666666667,0.08274474628269672,97.31
piecewise_exp,2026,5,0.048093887280424436,98.39333333333333,0.0973337434232235,96.91
rectangular,2024,1,0.25916898863514265,92.775,0.12131799459457397,96.35
rectangular,2024,2,0.1099701826175054,96.68,0.12952265590429307,96.09
rectangular,2024,3,0.08747619258960088,97.26166666666667,0.09649368301033974,96.87
rectangular,2024,4,0.07558524842262268,97.625,0.10421164557337761,96.7
rectangular,2024,5,0.06984770743052164,97.775,0.0933252478018403,97.06
rectangular,2025,1,0.2580922818938891,92.71833333333333,0.12646582163870335,96.17
rectangular,2025,2,0.10774462651809057,96.69666666666667,0.0997177455574274,97.0
rectangular,2025,3,0.0874856668273608,97.24833333333333,0.1010062862187624,96.94
rectangular,2025,4,0.07274227335055669,97.76833333333333,0.08803068716078996,97.38
rectangular,2025,5,0.06762100986341635,97.86,0.08882472142577172,97.2
rectangular,2026,1,0.2627713393131892,92.41,0.12638902999460697,96.36
rectangular,2026,2,0.10805489683151245,96.68833333333333,0.10069189481437206,96.91
rectangular,2026,3,0.08956963350375494,97.16333333333333,0.10026214607059955,96.68
rectangular,2026,4,0.07603310674826304,97.60333333333334,0.09780357889831066,96.94
rectangular,2026,5,0.06958944483399392,97.79666666666667,0.12778528295457364,96.08
sigmoid,2024,1,0.2396510716100534,92.91166666666666,0.10902471244335174,96.6
sigmoid,2024,2,0.09202402955889702,97.12833333333333,0.09646281786262989,96.97
sigmoid,2024,3,0.06561338214973608,97.87666666666667,0.09137987196445466,97.22
