surrogate,runs,final_train_acc_mean,final_train_acc_std,final_test_acc_mean,final_test_acc_std,final_test_loss_mean,final_test_loss_std,best_epoch,best_test_acc_mean,best_test_acc_std,test_acc_auc,epoch_to_target,seconds_mean,seconds_std
sigmoid,3,98.64888888888889,0.047267951714233016,97.43666666666667,0.41040630274562534,0.08522113868966698,0.011732505696945237,5,97.43666666666667,0.41040630274562534,97.12333333333333,2,57.13845976674929,0.21733307523110712
piecewise_exp,3,98.38888888888887,0.022005891467044313,97.41666666666667,0.43890014050275267,0.08512118427703778,0.010593531658090651,5,97.41666666666667,0.43890014050275267,97.09400000000001,2,57.41618336667307,0.36386141244223524
atan,3,98.34388888888888,0.09835216392203744,97.18666666666667,0.37634204300520696,0.09252627252911527,0.008601328021878078,3,97.21,0.07211102550928121,96.99333333333333,2,57.11587376667497,0.16290229873122927
triangular,3,98.19944444444445,0.06936884774188075,97.18333333333334,0.41295681775863297,0.09227636608605583,0.013793579905847838,3,97.25,0.0799999999999983,96.92933333333335,3,57.817931966700904,0.3856053470004569
rectangular,3,97.81055555555555,0.044169287133999494,96.77999999999999,0.6102458520956967,0.10331175072739522,0.02131382225626079,4,97.00666666666666,0.3448671241700648,96.71533333333333,4,58.06008123334808,0.6148160955678794
